rank,target_id,source_type,repo_url,stars,last_commit_utc,adoption_signal,rank_score,snapshot_ref
1,microsoft/playwright-mcp,github,https://github.com/microsoft/playwright-mcp,31118,2026-04-20T07:55:50Z,0,31118,HEAD
2,github/github-mcp-server,github,https://github.com/github/github-mcp-server,29088,2026-04-20T07:56:37Z,0,29088,HEAD
3,PrefectHQ/fastmcp,github,https://github.com/PrefectHQ/fastmcp,24671,2026-04-20T07:46:20Z,0,24671,HEAD
4,activepieces/activepieces,github,https://github.com/activepieces/activepieces,21787,2026-04-20T07:38:02Z,0,21787,HEAD
5,googleapis/mcp-toolbox,github,https://github.com/googleapis/mcp-toolbox,14703,2026-04-20T07:02:20Z,0,14703,HEAD
6,GLips/Figma-Context-MCP,github,https://github.com/GLips/Figma-Context-MCP,14435,2026-04-20T04:20:14Z,0,14435,HEAD
7,BeehiveInnovations/pal-mcp-server,github,https://github.com/BeehiveInnovations/pal-mcp-server,11450,2026-04-19T21:31:41Z,0,11450,HEAD
8,hangwin/mcp-chrome,github,https://github.com/hangwin/mcp-chrome,11266,2026-04-20T07:13:08Z,0,11266,HEAD
9,awslabs/mcp,github,https://github.com/awslabs/mcp,8814,2026-04-20T06:57:02Z,0,8814,HEAD
10,LaurieWired/GhidraMCP,github,https://github.com/LaurieWired/GhidraMCP,8511,2026-04-20T07:56:00Z,0,8511,HEAD
11,0x4m4/hexstrike-ai,github,https://github.com/0x4m4/hexstrike-ai,8192,2026-04-20T07:18:11Z,0,8192,HEAD
12,webiny/webiny-js,github,https://github.com/webiny/webiny-js,7964,2026-04-20T07:48:31Z,0,7964,HEAD
13,idosal/git-mcp,github,https://github.com/idosal/git-mcp,7948,2026-04-20T06:35:39Z,0,7948,HEAD
14,kreuzberg-dev/kreuzberg,github,https://github.com/kreuzberg-dev/kreuzberg,7600,2026-04-20T07:11:14Z,0,7600,HEAD
15,BrowserMCP/mcp,github,https://github.com/BrowserMCP/mcp,6365,2026-04-20T07:24:41Z,0,6365,HEAD
16,firecrawl/firecrawl-mcp-server,github,https://github.com/firecrawl/firecrawl-mcp-server,6101,2026-04-20T06:59:15Z,0,6101,HEAD
17,wonderwhy-er/DesktopCommanderMCP,github,https://github.com/wonderwhy-er/DesktopCommanderMCP,5918,2026-04-20T05:37:09Z,0,5918,HEAD
18,lharries/whatsapp-mcp,github,https://github.com/lharries/whatsapp-mcp,5529,2026-04-20T07:25:16Z,0,5529,HEAD
19,getsentry/XcodeBuildMCP,github,https://github.com/getsentry/XcodeBuildMCP,5267,2026-04-20T04:51:06Z,0,5267,HEAD
20,CursorTouch/Windows-MCP,github,https://github.com/CursorTouch/Windows-MCP,5212,2026-04-20T07:46:29Z,0,5212,HEAD
21,sooperset/mcp-atlassian,github,https://github.com/sooperset/mcp-atlassian,4977,2026-04-20T06:48:54Z,0,4977,HEAD
22,aipotheosis-labs/aci,github,https://github.com/aipotheosis-labs/aci,4753,2026-04-19T08:43:53Z,0,4753,HEAD
23,21st-dev/magic-mcp,github,https://github.com/21st-dev/magic-mcp,4752,2026-04-19T19:58:24Z,0,4752,HEAD
24,epiral/bb-browser,github,https://github.com/epiral/bb-browser,4686,2026-04-20T07:42:28Z,0,4686,HEAD
25,u14app/deep-research,github,https://github.com/u14app/deep-research,4563,2026-04-19T00:31:46Z,0,4563,HEAD
26,exa-labs/exa-mcp-server,github,https://github.com/exa-labs/exa-mcp-server,4277,2026-04-20T00:34:32Z,0,4277,HEAD
27,makenotion/notion-mcp-server,github,https://github.com/makenotion/notion-mcp-server,4241,2026-04-20T07:51:10Z,0,4241,HEAD
28,Pimzino/spec-workflow-mcp,github,https://github.com/Pimzino/spec-workflow-mcp,4133,2026-04-19T08:34:38Z,0,4133,HEAD
29,antvis/mcp-server-chart,github,https://github.com/antvis/mcp-server-chart,3983,2026-04-20T06:28:18Z,0,3983,HEAD
30,leerob/directories,github,https://github.com/leerob/directories,3916,2026-04-18T21:32:34Z,0,3916,HEAD
31,Minidoracat/mcp-feedback-enhanced,github,https://github.com/Minidoracat/mcp-feedback-enhanced,3780,2026-04-20T07:13:51Z,0,3780,HEAD
32,haris-musa/excel-mcp-server,github,https://github.com/haris-musa/excel-mcp-server,3715,2026-04-20T04:11:38Z,0,3715,HEAD
33,cloudflare/mcp-server-cloudflare,github,https://github.com/cloudflare/mcp-server-cloudflare,3643,2026-04-19T17:52:06Z,0,3643,HEAD
34,opensumi/core,github,https://github.com/opensumi/core,3625,2026-04-16T08:05:25Z,0,3625,HEAD
35,MarkusPfundstein/mcp-obsidian,github,https://github.com/MarkusPfundstein/mcp-obsidian,3429,2026-04-20T06:47:23Z,0,3429,HEAD
36,laravel/boost,github,https://github.com/laravel/boost,3418,2026-04-20T07:05:41Z,0,3418,HEAD
37,browserbase/mcp-server-browserbase,github,https://github.com/browserbase/mcp-server-browserbase,3276,2026-04-20T03:34:15Z,0,3276,HEAD
38,steipete/Peekaboo,github,https://github.com/steipete/Peekaboo,3151,2026-04-20T06:45:39Z,0,3151,HEAD
39,Coding-Solo/godot-mcp,github,https://github.com/Coding-Solo/godot-mcp,3149,2026-04-20T07:42:23Z,0,3149,HEAD
40,punkpeye/fastmcp,github,https://github.com/punkpeye/fastmcp,3054,2026-04-20T05:22:03Z,0,3054,HEAD
41,CodeGraphContext/CodeGraphContext,github,https://github.com/CodeGraphContext/CodeGraphContext,3013,2026-04-20T03:34:53Z,0,3013,HEAD
42,grafana/mcp-grafana,github,https://github.com/grafana/mcp-grafana,2857,2026-04-20T06:59:50Z,0,2857,HEAD
43,Jpisnice/shadcn-ui-mcp-server,github,https://github.com/Jpisnice/shadcn-ui-mcp-server,2748,2026-04-19T21:25:33Z,0,2748,HEAD
44,Gentleman-Programming/engram,github,https://github.com/Gentleman-Programming/engram,2681,2026-04-20T05:30:07Z,0,2681,HEAD
45,bytebase/dbhub,github,https://github.com/bytebase/dbhub,2598,2026-04-20T07:39:42Z,0,2598,HEAD
46,blazickjp/arxiv-mcp-server,github,https://github.com/blazickjp/arxiv-mcp-server,2568,2026-04-20T05:20:41Z,0,2568,HEAD
47,agentgateway/agentgateway,github,https://github.com/agentgateway/agentgateway,2438,2026-04-20T06:46:37Z,0,2438,HEAD
48,homeassistant-ai/ha-mcp,github,https://github.com/homeassistant-ai/ha-mcp,2389,2026-04-20T07:46:53Z,0,2389,HEAD
49,brightdata/brightdata-mcp,github,https://github.com/brightdata/brightdata-mcp,2306,2026-04-19T21:10:09Z,0,2306,HEAD
50,snyk/agent-scan,github,https://github.com/snyk/agent-scan,2193,2026-04-20T07:12:11Z,0,2193,HEAD
